VALID_AIRCRAFT_ROOT,ACTIVE AIR DEFENSE,ADMINISTRATIVE,AERIAL MINING,AEW,AIR EVAC/NONTACTIC,AIR INTERDICTION,AIR REFUEL,AIR REFUELING,AIRBORNE ALERT,AIRLIFT,ARMED HELICOPTER,ARMED RECCE,ARTILLERY ADJUST,BAS CMBT AIR  PATROL,CASUALTY EVACUATION,CBT CGO AIRLAND,CLOSE AIR SUPPORT,COMBAT OBSERVATION,COMBT CARGO AIR  DROP,COMBT CARGO AIR LAND,COMBT CARGO CARRYING,COMBT TROOP AIR DROP,COMBT TROOP AIR LAND,COMBT TROOP CARRYING,COMMAND/CONTROL,DE-POSITIONING,DEF CMBT AIR PATROL,DEFOL/DEFOL SURVEY,DIR AIR SUPPT,DIRECT AIR SUPPORT,ECCM,ECM,ECOMINT,ELINT,ESCORT-RECON,ESCORT/COVER,EXTRACTION (GPES),EXTRACTION (LAPES),EXTRACTION (PLADS),FAC/TAC,FLAK SUPPRESSION,FLARE DROP,FLEET AREA RECCE,FRIENDLY A/C DAM GND,FRIENDLY A/C DES  GND,FRIENDLY A/CD TO/L,FRIENDLY A/CL TO/L,HANDHELD PHOTO RECCE,HELO ESCORT,HYDRO ACCOUST RECCE,INFRA-RED RECCE,LANDING ZONE CONST,LANDING ZONE PREP,LAPES EXTR,LATE-LIGHT RECCE,LIASON,LLLTV RECCE,LLLTV STRIKE,LOG CARGO CARRYING,LOG TROOP CARRYING,MAINTENANCE,MIG CMBT AIR PATROL,MOTION PICTURE RECCE,MOVIE RECON,MUDY,OPTICAL RECCE,OTHER,PATH FINDER,PHOTO RECCE,POSITIONING,PSYCHOLOGIC WARFARE,RADAR RECCE,RADIO DIRECT FINDER,RADIO RELAY,RADIOMETER RECCE,RES CMBT AIR PATROL,SAR CMBT AIR PATROL,SEARCH/RESCUE,SEDY,SEMO,SHIP_ CMBT AIR PATROL,SLAR RECCE,SMOKE SCREEN,SPECTROMETER RECCE,STRIKE,TAR CMBT AIR PATROL,TARCON,TELEMETRY RECCE,TELEVISION RECCE,TELLERLIGHT RECCE,TRAINING,ULTRA-VIOLET RECCE,VISUAL RECCE,WEATHER EVACUATION,WEATHER RECCE
A-1,4,494,0,22,0,71671,0,36,1170,0,13,44843,2517,17,1,0,69291,7,4,6,0,0,2,3,2,1,321,2,0,41063,0,13,2,9,1454,6585,2367,0,76,2601,167,115,11,135,15,3,0,1,340,0,1,0,1315,0,0,0,76,873,0,0,3150,49,11,0,1474,1,1379,6,7,2,74,23,13,6,1,4926,2563,1439,53,5,227,0,11,0,92660,117,0,0,128,2,3247,31,2631,0,105
A-26,0,0,0,0,0,0,0,0,0,0,0,11048,0,0,0,0,253,0,0,0,0,0,0,1,0,0,5,0,0,13,0,0,0,0,70,0,0,0,0,6,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,25234,0,0,0,0,0,0,0,4,0,0
A-3,0,1,1,7,0,26,0,4943,0,0,0,76,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,255,0,49,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,11,2,0,0,0,0,47,0,0,0,0,0,0,11,0,0,0,0,0,2,0,1,0,5
A-37,0,1749,0,0,0,70080,0,3,79,0,0,388,0,0,1,0,173107,0,0,0,0,0,0,1,1,0,7,0,0,16,0,0,0,0,0,1495,3081,4,0,57,32,39,0,144,3,15,0,0,3,3,0,16,2360,0,0,297,2,0,1,1,5493,11,7,0,0,2,875,1,1,0,0,0,0,3,0,29,12,2,0,0,4,0,0,0,2278,0,0,7,0,0,8720,0,70,0,0
A-4,7,14,58,27,0,5168,0,13569,23,0,2,74510,369,47,9,0,66090,0,3,6,686,0,1,810,13,0,16,6,0,94965,0,23,0,12,25,5441,471,1,3,68,4131,400,0,101,3,13,0,13,22,1,5,4,2711,0,0,0,0,0,30,19,58,30,9,0,235,2,1845,3,32,4,40,9,101,1,0,1385,56,115,4,0,69,5,4,0,110150,30,0,4,1,2,208,16,396,14,1595
A-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A-6,0,15,118,3,0,7809,0,2082,2,0,0,23516,0,15,0,0,13120,0,0,0,0,0,0,0,1,0,1,0,0,20266,0,27,0,6,11,631,502,0,7,33,422,0,2,24,1,16,1,7,2,0,1,0,58,0,2,0,0,0,0,0,112,18,0,0,3343,8,665,0,16,0,1,368,0,0,1,70,11,7,0,0,29,0,0,0,66789,3,0,0,0,3,663,0,1122,2,28
A-7,0,55,0,3,0,13633,0,2929,358,0,0,28724,66,34,0,0,20863,0,0,0,0,0,0,0,0,2,2,0,0,4096,0,3,0,9,24,373,638,0,20,0,1393,0,0,4681,0,72,0,0,34,0,4,0,0,0,0,0,0,0,0,0,555,19,0,0,3758,0,818,0,28,0,1,2,2,8,2,913,43,250,12,0,155,1,0,0,73258,2,0,0,0,0,1555,0,48,6,200
A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC-119,0,282,2,0,0,20758,0,0,3890,0,0,24865,0,0,0,0,16184,0,0,0,0,0,0,3,3,0,1318,0,0,1165,0,0,0,0,0,51,1261,0,20,13,21,2727,0,7,2,0,0,0,0,0,7,0,2,0,0,3,0,0,0,45,598,3,0,0,0,0,1180,0,8,0,1,2,15,0,0,7,21,10,0,0,0,0,0,0,2899,3,0,0,0,0,1819,0,81,4,6
