MFUNC_DESC,KINETIC,NONKINETIC
ACTIVE AIR DEFENSE,0,1086
ADMINISTRATIVE,0,42185
AERIAL MINING,5945,0
AEW,0,15976
AIR EVAC/NONTACTIC,0,78
AIR INTERDICTION,454388,0
AIR REFUEL,0,22903
AIR REFUELING,0,49225
AIRBORNE ALERT,0,43143
AIRLIFT,0,1109
ARMED HELICOPTER,20353,0
ARMED RECCE,418330,0
ARTILLERY ADJUST,0,3385
BAS CMBT AIR  PATROL,25196,0
CASUALTY EVACUATION,0,5820
CBT CGO AIRLAND,0,4
CLOSE AIR SUPPORT,850726,0
COMBAT OBSERVATION,0,35
COMBT CARGO AIR  DROP,0,37919
COMBT CARGO AIR LAND,0,46
COMBT CARGO CARRYING,0,16708
COMBT TROOP AIR DROP,0,108
COMBT TROOP AIR LAND,0,41
COMBT TROOP CARRYING,0,21663
COMMAND/CONTROL,0,22033
DE-POSITIONING,0,425
DEF CMBT AIR PATROL,0,4197
DEFOL/DEFOL SURVEY,0,982
DIR AIR SUPPT,1017,0
DIRECT AIR SUPPORT,320026,0
ECCM,0,98
ECM,0,41492
ECOMINT,0,33
ELINT,0,25948
ESCORT-RECON,0,8679
ESCORT/COVER,0,63948
EXTRACTION (GPES),0,25472
EXTRACTION (LAPES),0,86
EXTRACTION (PLADS),0,2119
FAC/TAC,0,59279
FLAK SUPPRESSION,35564,0
FLARE DROP,0,32518
FLEET AREA RECCE,0,62
FRIENDLY A/C DAM GND,0,13493
FRIENDLY A/C DES  GND,0,97
FRIENDLY A/CD TO/L,0,2487
FRIENDLY A/CL TO/L,0,1134
HANDHELD PHOTO RECCE,0,198
HELO ESCORT,0,4128
HYDRO ACCOUST RECCE,0,22
INFRA-RED RECCE,0,39909
LANDING ZONE CONST,0,1118
LANDING ZONE PREP,25792,0
LAPES EXTR,0,3
LATE-LIGHT RECCE,0,34
LIASON,0,520
LLLTV RECCE,0,7985
LLLTV STRIKE,880,0
LOG CARGO CARRYING,0,8194
LOG TROOP CARRYING,0,45797
MAINTENANCE,0,61022
MIG CMBT AIR PATROL,13007,0
MOTION PICTURE RECCE,0,420
MOVIE RECON,0,1
MUDY,0,11865
OPTICAL RECCE,0,230
OTHER,0,35091
PATH FINDER,0,2773
PHOTO RECCE,0,303210
POSITIONING,0,657
PSYCHOLOGIC WARFARE,0,22370
RADAR RECCE,0,528
RADIO DIRECT FINDER,0,44004
RADIO RELAY,0,4094
RADIOMETER RECCE,0,49
RES CMBT AIR PATROL,9340,0
SAR CMBT AIR PATROL,3874,0
SEARCH/RESCUE,0,10328
SEDY,0,8766
SEMO,0,9515
SHIP_ CMBT AIR PATROL,0,6008
SLAR RECCE,0,1744
SMOKE SCREEN,0,35
SPECTROMETER RECCE,0,22
STRIKE,1007674,0
TAR CMBT AIR PATROL,0,2297
TARCON,0,3546
TELEMETRY RECCE,0,48
TELEVISION RECCE,0,138
TELLERLIGHT RECCE,0,18
TRAINING,0,98821
ULTRA-VIOLET RECCE,0,129
VISUAL RECCE,0,61348
WEATHER EVACUATION,0,96
WEATHER RECCE,0,10485
