,THOR_DATA_VIET_ID,COUNTRYFLYINGMISSION,MILSERVICE,MSNDATE,SOURCEID,SOURCERECORD,VALID_AIRCRAFT_ROOT,TAKEOFFLOCATION,TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84,TGTTYPE,NUMWEAPONSDELIVERED,TIMEONTARGET,WEAPONTYPE,WEAPONTYPECLASS,WEAPONTYPEWEIGHT,AIRCRAFT_ORIGINAL,AIRCRAFT_ROOT,AIRFORCEGROUP,AIRFORCESQDN,CALLSIGN,FLTHOURS,MFUNC,MFUNC_DESC,MISSIONID,NUMOFACFT,OPERATIONSUPPORTED,PERIODOFDAY,UNIT,TGTCLOUDCOVER,TGTCONTROL,TGTCOUNTRY,TGTID,TGTORIGCOORDS,TGTORIGCOORDSFORMAT,TGTWEATHER,ADDITIONALINFO,GEOZONE,ID,MFUNC_DESC_CLASS,NUMWEAPONSJETTISONED,NUMWEAPONSRETURNED,RELEASEALTITUDE,RELEASEFLTSPEED,RESULTSBDA,TIMEOFFTARGET,WEAPONSLOADEDWEIGHT
2165,2174,UNITED STATES OF AMERICA,USN,1972-12-21,659150,SEADAB,A-6,TONKIN GULF,20.885,106.622777,,0,1115.0,,,0,A6,A6,,,FLYINGAC,40,1.0,STRIKE,9426,2,,N,778CTG,,,NORTH VIETNAM,,205306N1063722E,DDMMSSN DDDMMSSE,,UNIT: 778CTG - CALLSIGN: FLYINGAC,XH,27147549,KINETIC,-1,-1,,,,1115.0,0
2779,2788,UNITED STATES OF AMERICA,USAF,1972-12-18,659764,SEADAB,B-52,U TAPAO,21.293055,106.349722,CONFIRM ENEMY LOC,42,1251.0,MK 82 GP BOMB (500) LD,,500,B52,B52,,,GOLD,108,61.0,COMBT CARGO AIR  DROP,EF04,3,,N,307SW,,,NORTH VIETNAM,,211735N1062059E,DDMMSSN DDDMMSSE,,UNIT: 307SW - CALLSIGN: GOLD,XH,27148163,NONKINETIC,-1,-1,,,RNO ****,1251.0,223020
4228,4240,UNITED STATES OF AMERICA,USAF,1972-12-29,674940,SEADAB,A-7,KORAT,21.605277,105.940277,,0,212.0,,,0,A7,A7,,,PISTOL,132,1.0,STRIKE,4556,4,,D,354TFW,,,NORTH VIETNAM,,213619N1055625E,DDMMSSN DDDMMSSE,,UNIT: 354TFW - CALLSIGN: PISTOL,XK,27163339,KINETIC,-1,-1,,,,212.0,0
5266,5283,UNITED STATES OF AMERICA,USAF,1972-12-19,694411,SEADAB,B-52,ANDERSEN,20.981666,105.452222,,126,1754.0,,,0,B52,B52,,,TAN,330,61.0,COMBT CARGO AIR  DROP,EG18,3,,N,4133SW,,,NORTH VIETNAM,,205854N1052708E,DDMMSSN DDDMMSSE,,UNIT: 4133SW - CALLSIGN: TAN,WJ,27182810,NONKINETIC,-1,-1,,,,1754.0,1033200
5853,5872,UNITED STATES OF AMERICA,USAF,1972-12-20,695000,SEADAB,F-4,KORAT,21.221388,105.836944,,2,545.0,,,0,F4,F4,,,EAGLE,68,2.0,FLAK SUPPRESSION,4474,3,,D,388TFW,,,NORTH VIETNAM,,211317N1055013E,DDMMSSN DDDMMSSE,,UNIT: 388TFW - CALLSIGN: EAGLE,WJ,27183399,KINETIC,-1,-1,,,,545.0,16600
5881,5900,UNITED STATES OF AMERICA,USAF,1972-12-19,695028,SEADAB,F-4,UBON AB,20.981388,105.764722,RADIO COMMUNICATN,0,508.0,,,0,F4,F4,,,REDWOOD,152,1.0,STRIKE,4354,5,,D,8TFW,,,NORTH VIETNAM,,205853N1054553E,DDMMSSN DDDMMSSE,,UNIT: 8TFW - CALLSIGN: REDWOOD,WJ,27183427,KINETIC,-1,-1,,,RNO WEATHER,508.0,0
7862,7886,UNITED STATES OF AMERICA,USAF,1972-12-21,1104335,SEADAB,F-111,TAKHLI,20.992222,105.833055,,12,1157.0,,,0,F111,F111,,,JACKEL21,26,1.0,STRIKE,3502,1,,N,474TFW,,,NORTH VIETNAM,,205932N1054959E,DDMMSSN DDDMMSSE,,UNIT: 474TFW - CALLSIGN: JACKEL21,WJ,27592734,KINETIC,-1,-1,,,,1157.0,68520
8394,8419,UNITED STATES OF AMERICA,USN,1972-12-18,1123046,SEADAB,A-6,TONKIN GULF,20.863611,106.680277,NAVAL BASE,0,2130.0,,,0,A6,A6,,,ARAB,37,1.0,STRIKE,9615,2,,N,773CTG,,,NORTH VIETNAM,,205149N1064049E,DDMMSSN DDDMMSSE,,UNIT: 773CTG - CALLSIGN: ARAB,XH,27611445,KINETIC,-1,-1,,,SEC EXPLOSION,2130.0,0
8415,8440,UNITED STATES OF AMERICA,USAF,1972-12-26,1123067,SEADAB,B-52,ANDERSEN,21.595,105.773055,,126,1541.0,,,0,B52,B52,,,LEMON,330,61.0,COMBT CARGO AIR  DROP,EI41,3,,N,4133SW,,,NORTH VIETNAM,,213542N1054623E,DDMMSSN DDDMMSSE,,UNIT: 4133SW - CALLSIGN: LEMON,WK,27611466,NONKINETIC,-1,-1,,,,1541.0,1033200
8484,8509,UNITED STATES OF AMERICA,USAF,1972-12-21,1123136,SEADAB,B-52,ANDERSEN,20.781388,105.864722,CONFIRM ENEMY LOC,28,2046.0,MK 82 GP BOMB (500) LD,,500,B52,B52,,4133SW,BLUE,220,61.0,COMBT CARGO AIR  DROP,EH59,3,,N,4133SW,,,NORTH VIETNAM,,204653N1055153E,DDMMSSN DDDMMSSE,,UNIT: 4133SW - CALLSIGN: BLUE,WJ,27611535,NONKINETIC,-1,-1,0.0,,RNO WEATHER,2046.0,148680
10439,10466,UNITED STATES OF AMERICA,USAF,1972-12-19,1145981,SEADAB,F-111,TAKHLI,21.260277,105.870277,,12,1822.0,,,0,F111,F111,,,JACKEL,27,1.0,STRIKE,4844,1,,N,474TFW,,,NORTH VIETNAM,,211537N1055213E,DDMMSSN DDDMMSSE,,UNIT: 474TFW - CALLSIGN: JACKEL,WJ,27634380,KINETIC,-1,-1,,,,1822.0,68520
12481,12515,UNITED STATES OF AMERICA,USAF,1972-12-27,1191127,SEADAB,F-105,KORAT,20.953333,105.8875,,3,1600.0,,,0,F105,F105,,,GAZEBO,168,2.0,FLAK SUPPRESSION,4024,5,,N,388TFW,,,NORTH VIETNAM,,205712N1055315E,DDMMSSN DDDMMSSE,,UNIT: 388TFW - CALLSIGN: GAZEBO,WJ,27679526,KINETIC,-1,-1,,,,1600.0,11850
13025,13059,UNITED STATES OF AMERICA,USAF,1972-12-23,1191671,SEADAB,F-105,KORAT,21.379444,106.784722,,1,1207.0,,,0,F105,F105,,,JALOPY,124,2.0,FLAK SUPPRESSION,4024,5,,N,388TFW,,,NORTH VIETNAM,,212246N1064705E,DDMMSSN DDDMMSSE,,UNIT: 388TFW - CALLSIGN: JALOPY,YJ,27680070,KINETIC,-1,-1,,,,1207.0,3950
13145,13179,UNITED STATES OF AMERICA,USAF,1972-12-20,1191791,SEADAB,F-4,UDORN AB,21.724722,104.885,,18,531.0,,,0,F4,F4,,,SADDLE,106,1.0,STRIKE,4435,4,,D,432TRW,,,NORTH VIETNAM,,214329N1045306E,DDMMSSN DDDMMSSE,,UNIT: 432TRW - CALLSIGN: SADDLE,VK,27680190,KINETIC,-1,-1,,,,531.0,95580
