Aircraft Type,Count
A-1,373265
A-26,36672
A-3,5458
A-37,282699
A-4,390290
A-5,10
A-6,148372
A-7,171983
A8,4
AC-119,81757
AC-123,3435
AC-130,76620
AC-47,75174
AH-1,1355
AU-24,5041
B-1,2
B-52,99236
B-57,83097
B-66,1052
C-1,110
C-117,983
C-119,5094
C-121,1
C-123,21841
C-130,37038
C-47,19948
C-54,13
C-7,13847
C-76,1
CH-3,1256
CH-46,2800
CH-47,9319
CH-53,4423
DA3,1
DC-4,56
DC-6,342
DC-8,379
E-1,7130
E-2,8466
E-3,1
EA-1,4942
EA-3,7684
EA-6,5176
EB-66,34824
EC-121,17621
EC-130,5222
EC-211,2
EC-47,59034
EF-10,7066
EKA-3,10004
EP-3,690
F-10,2
F-100,492872
F-102,6923
F-104,2961
F-105,143140
F-111,20485
F-14,15
F-4,957421
F-5,41603
F-8,74977
F-9,186
FC-47,923
H-1,1
H-34,2213
H-47,3
H-53,3
HC-130,6337
HC-47,1076
HH-3,932
HH-43,10443
HH-53,6973
JC-47,75
KA-4,581
KA-6,2325
KA-7,378
KA3,7334
KC-130,1063
KC-135,33490
L-19,3
LC-130,1
NC-123,7
NOT CODED,1252
O-1,51010
O-2,31952
OH-6,4
OV-1,10
OV-10,25958
P-3,23
P41,1
QU-22,4717
R44,1
R64,1
RA-3,563
RA-5,11172
RB-57,19510
RB-66,1974
RC-135,810
RC-47,7869
RF-101,71901
RF-4,243259
RF-5,1531
RF-8,11268
SH-3,6345
T-28,42090
T-29,456
T-39,108
T-41,230
T9,4
TA-4,7734
TF9,3600
U-1,177
U-10,5
U-17,26668
U-1A,1
U-21,1863
U-3,95
U-6,6219
UC-123,2241
UC-130,2
UH-1,147509
UH-1H,2
UH-2,33
UH-34,2
VC-118,28
VC-47,2291
VC-54,43
WC-130,1226
YQU-22,1076
