Mission Date,Count
19651001,32
19651002,20
19651003,16
19651004,29
19651005,11
19651006,23
19651007,49
19651008,51
19651009,34
19651010,28
19651011,17
19651012,11
19651013,15
19651014,10
19651015,7
19651016,25
19651017,4
19651018,26
19651019,19
19651020,14
19651021,27
19651022,36
19651023,36
19651024,28
19651025,10
19651026,30
19651027,33
19651028,19
19651029,25
19651030,33
19651031,56
19651101,61
19651102,45
19651103,29
19651104,35
19651105,52
19651106,51
19651107,40
19651108,59
19651109,57
19651110,42
19651111,48
19651112,73
19651113,68
19651114,45
19651115,56
19651116,42
19651117,67
19651118,69
19651119,51
19651120,65
19651121,66
19651122,74
19651123,77
19651124,70
19651125,68
19651126,72
19651127,56
19651128,73
19651129,61
19651130,74
19651201,55
19651202,68
19651203,75
19651204,68
19651205,53
19651206,42
19651207,48
19651208,75
19651209,57
19651210,61
19651211,50
19651212,78
19651213,58
19651214,62
19651215,46
19651216,54
19651217,43
19651218,41
19651219,50
19651220,45
19651221,68
19651222,68
19651223,70
19651224,62
19651225,5
19651226,55
19651227,53
19651228,78
19651229,68
19651230,61
19651231,68
19700101,95
19700102,144
19700103,93
19700104,77
19700105,143
19700106,141
19700107,124
19700108,183
19700109,198
19700110,170
19700111,158
19700112,165
19700113,147
19700114,146
19700115,128
19700116,136
19700117,145
19700118,156
19700119,127
19700120,152
19700121,172
19700122,171
19700123,177
19700124,180
19700125,201
19700126,194
19700127,173
19700128,121
19700129,166
19700130,133
19700131,174
19700201,144
19700202,159
19700203,142
19700204,157
19700205,104
19700206,92
19700207,110
19700208,143
19700209,107
19700210,83
19700211,113
19700212,120
19700213,91
19700214,167
19700215,162
19700216,132
19700217,142
19700218,165
19700219,148
19700220,136
19700221,156
19700222,146
19700223,134
19700224,109
19700225,146
19700226,142
19700227,136
19700228,129
19700229,1
19700301,112
19700302,168
19700303,140
19700304,111
19700305,112
19700306,149
19700307,139
19700308,134
19700309,150
19700310,159
19700311,140
19700312,161
19700313,133
19700314,135
19700315,161
19700316,134
19700317,140
19700318,130
19700319,115
19700320,111
19700321,103
19700322,65
19700323,100
19700324,132
19700325,97
19700326,112
19700327,88
19700328,98
19700329,51
19700330,110
19700331,100
19700401,101
19700402,93
19700403,66
19700404,69
19700405,51
19700406,81
19700407,113
19700408,95
19700409,109
19700410,133
19700411,107
19700412,100
19700413,102
19700414,111
19700415,78
19700416,118
19700417,117
19700418,154
19700419,79
19700420,140
19700421,126
19700422,123
19700423,119
19700424,130
19700425,124
19700426,119
19700427,121
19700428,114
19700429,152
19700430,121
19700501,100
19700502,105
19700503,80
19700504,123
19700505,108
19700506,120
19700507,123
19700508,90
19700509,97
19700510,74
19700511,67
19700512,94
19700513,74
19700514,61
19700515,52
19700516,46
19700517,60
19700518,55
19700519,73
19700520,81
19700521,64
19700522,93
19700523,117
19700524,115
19700525,106
19700526,78
19700527,92
19700528,73
19700529,85
19700530,87
19700531,81
19700601,91
19700602,92
19700603,120
19700604,87
19700605,105
19700606,101
19700607,85
19700608,58
19700609,38
19700610,56
19700611,70
19700612,47
19700613,68
19700614,46
19700615,70
19700616,75
19700617,76
19700618,56
19700619,59
19700620,84
19700621,49
19700622,61
19700623,57
19700624,58
19700625,71
19700626,56
19700627,65
19700628,44
19700629,59
19700630,73
19700701,43
19700702,37
19700703,33
19700704,25
19700705,40
19700706,37
19700707,34
19700708,26
19700709,45
19700710,32
19700711,51
19700712,58
19700713,57
19700714,38
19700715,39
19700716,43
19700717,42
19700718,29
19700719,38
19700720,60
19700721,58
19700722,64
19700723,68
19700724,51
19700725,58
19700726,52
19700727,71
19700728,57
19700729,41
19700730,45
19700731,43
19700801,53
19700802,49
19700803,55
19700804,54
19700805,65
19700806,79
19700807,53
19700808,68
19700809,79
19700810,83
19700811,66
19700812,80
19700813,67
19700814,34
19700815,49
19700816,40
19700817,34
19700818,34
19700819,34
19700820,43
19700821,40
19700822,34
19700823,48
19700824,51
19700825,44
19700826,57
19700827,55
19700828,48
19700829,59
19700830,63
19700831,73
19700901,70
19700902,60
19700903,61
