Mission Type,Count
ACTIVE AIR DEFENSE,1086
ADMINISTRATIVE,42185
AERIAL MINING,5945
AEW,15976
AIR EVAC/NONTACTIC,78
AIR INTERDICTION,454388
AIR REFUEL,22903
AIR REFUELING,49225
AIRBORNE ALERT,43143
AIRLIFT,1109
ARMED HELICOPTER,20353
ARMED RECCE,418330
ARTILLERY ADJUST,3385
BAS CMBT AIR  PATROL,25196
CASUALTY EVACUATION,5820
CBT CGO AIRLAND,4
CLOSE AIR SUPPORT,850726
COMBAT OBSERVATION,35
COMBT CARGO AIR  DROP,37919
COMBT CARGO AIR LAND,46
COMBT CARGO CARRYING,16708
COMBT TROOP AIR DROP,108
COMBT TROOP AIR LAND,41
COMBT TROOP CARRYING,21663
COMMAND/CONTROL,22033
DE-POSITIONING,425
DEF CMBT AIR PATROL,4197
DEFOL/DEFOL SURVEY,982
DIR AIR SUPPT,1017
DIRECT AIR SUPPORT,320026
ECCM,98
ECM,41492
ECOMINT,33
ELINT,25948
ESCORT-RECON,8679
ESCORT/COVER,63948
EXTRACTION (GPES),25472
EXTRACTION (LAPES),86
EXTRACTION (PLADS),2119
FAC/TAC,59279
FLAK SUPPRESSION,35564
FLARE DROP,32518
FLEET AREA RECCE,62
FRIENDLY A/C DAM GND,13493
FRIENDLY A/C DES  GND,97
FRIENDLY A/CD TO/L,2487
FRIENDLY A/CL TO/L,1134
HANDHELD PHOTO RECCE,198
HELO ESCORT,4128
HYDRO ACCOUST RECCE,22
INFRA-RED RECCE,39909
LANDING ZONE CONST,1118
LANDING ZONE PREP,25792
LAPES EXTR,3
LATE-LIGHT RECCE,34
LIASON,520
LLLTV RECCE,7985
LLLTV STRIKE,880
LOG CARGO CARRYING,8194
LOG TROOP CARRYING,45797
MAINTENANCE,61022
MIG CMBT AIR PATROL,13007
MOTION PICTURE RECCE,420
MOVIE RECON,1
MUDY,11865
OPTICAL RECCE,230
OTHER,35091
PATH FINDER,2773
PHOTO RECCE,303210
POSITIONING,657
PSYCHOLOGIC WARFARE,22370
RADAR RECCE,528
RADIO DIRECT FINDER,44004
RADIO RELAY,4094
RADIOMETER RECCE,49
RES CMBT AIR PATROL,9340
SAR CMBT AIR PATROL,3874
SEARCH/RESCUE,10328
SEDY,8766
SEMO,9515
SHIP_ CMBT AIR PATROL,6008
SLAR RECCE,1744
SMOKE SCREEN,35
SPECTROMETER RECCE,22
STRIKE,1007674
TAR CMBT AIR PATROL,2297
TARCON,3546
TELEMETRY RECCE,48
TELEVISION RECCE,138
TELLERLIGHT RECCE,18
TRAINING,98821
ULTRA-VIOLET RECCE,129
VISUAL RECCE,61348
WEATHER EVACUATION,96
WEATHER RECCE,10485
