Take Off Location,Count
AL,2542
AN SON NH,4
ANDERSEN,25980
AS,2
BAN ME THUOT,20
BATTAMBANG,1599
BC,35
BIEN HOA,512142
BIG TEAM,2
BINH THUY,147168
BM,3
BON HOMME RICHARD (CVA-31),4987
BOXER (CVA-21),2
BP,73
BR,10
BS,9
BT,160
C C KANG,1124
CA,910
CAM RANH BAY,97795
CAN THO,10815
CC,24
CD,2
CE,1
CHNG CHAN KG,449
CHU LAI,243008
CL,67
CLARK AB,85
CLCE,297
CONSTELLATION,5586
CORAL SEA (CVA-43),1594
CS,40
CUBI PT,641
DANANG,508590
DON MUANG,417
DONG HA,375
DORN_AB,6
ENTERPRISE (CVA-65),10530
EW,2738
FF,14
FRANKLIN D ROOSEVELT (CVA-42),2001
GNH,5
GW,2
HANCOCK (CVA-19),9559
HU LAI RV,1
HUE THU BAI,232
INDEPENDANCE (CVA-62),3361
INTREPID,4760
JAJQHB,1
JAKHLI,2
KADENA AFB,7646
KHE SANH,27
KITTY HAWK (CVA-63),10427
KORAT,193900
LB,101
LONG TIEN,9499
LOUANG PHRAB,5164
MBON,1
MIDWAY (CVA-41),1811
MRT,1
NAH TRANG,21628
NAKHON PHANOM,202715
NAKOM PHEN,14
NAM PHONG,18155
NAS CUBI P,1
NHA TRANG,57934
NO,8
OD,3
ORISKANY (CVA-34),9236
OUI NHOW,5
PAKSE,10850
PHAN RANG,260631
PHU CAT,55838
PLEIKU,112973
PLEIKU RVN,45
PONCHENTONG,23045
PT,44
QUANG TRI,447
QUI NHON,2390
RANGER,11599
RC,1
RECCE,246
RESCAP,95
RIEN HOA,3
RLAF,216
RPMB,1144
RT,4697
SAVANAKHET,6248
SD,474
SO CHINA SEA,837
SOC TRANG,2063
SS,1
ST,7
TAKHLI,66768
TAN CHAU,101
TAN SON NHUT,323631
TICONDEROGA (CVA-14),9177
TK9,2
TN,1
TONKIN GULF,218438
TRL,2
TUY HOA,139317
U TAPAO,88543
UBON AB,356647
UDORN AB,310869
VIENTIANE,393
VINH BINH,14
VNAF,24
VTBD,850
VTBI,77362
VVPU,58898
WESTPAC 11,22651
WESTPAC 14,35579
WESTPAC 19,35196
WESTPAC 31,41646
WESTPAC 34,27479
WESTPAC 38,8181
WESTPAC 42,4755
WESTPAC 43,38771
WESTPAC 59,657
WESTPAC 61,27038
WESTPAC 63,35340
WESTPAC 64,44308
WESTPAC 65,28601
WESTPAC 66,31372
WESTPAC 67,2
WESTPAC AL,106
WESTPAC EW,172
WESTPAC NH,6
WESTPAC RT,178
WESTPAC TH,303
WESTPAC UN,1
WESTPAC XX,10
YOKOTA,1
YT,115
