Target Type,Count
100MM GUN SITE,58
105MM GUN SITE,78
12.7 GUN SITE,462
122MM GUN SITE,113
130MM GUN SITE,563
14.5MM GUN SITE,19
155MM GUN SITE,5
175MM GUN SITE,9
23MM GUN SITE,480
57MM GUN SITE,350
85MM GUN SITE,151
AA SITE,354
AAA SITE UND,25
AAA SITE UNK CAL,1283
AAA\37MM  CR MORE,3306
AGRICULTURAL AREA,70
AIRCRAFT (UNIDENT),2564
AIRCRAFT ON GROUND,9
AIRCRAFT TRANSPORT,2
AIRFIELD,7190
AIRFIELD\ANY TYPE,216
AIRFLD\ACRFT\ETC,16
AMMO AREA,4
AMMO BLDG,6
AMMO STORAGE\DUMP,706
AMO\POL\SUP\CRT,52
ANCHORAGE,132
ANTENNA,455
ANTENNA\RADIO,13
ANTI-AIRCRAFT,111083
AREA,16
AREA COMPLEX,42
AREA\DEPOT,701188
ARMORED VEHICLE,118
ARTILLERY,3318
ASE         S,1
AUTO WEAPONS\ZPU,395
AUWP,277
BASE,50098
BASE CAMP AREA,4592
BICYCLE\SCOOTER,113
BIVOUAC,11906
BIVOUAC\STORE AREA,1757
BIVUOAC AREA,512
BLDG,4
BNKR\TRENCH\ETC,9
BOATS\BARGES,1133
BRDG,2
BRIDGE,73146
BRIDGES,1108
BRIDGE\ANY,1769
BRKS BLDG,2
BUILDINGS,185197
BULLDOZER,519
BUNKER,1607
BUNKER FACILITY (POL),6807
CAMP,79233
CANAL,5
CAUSEWAY,20
CAUSEWAY\DAM,79
CAVE,13886
CAVE STORAGE,109
CAVES,2430
CCC\HQ\RADAR\ETC,5
CHOKE POINT,2774
CIV POPULATN CENTR,25
CIV\DEF\STOR,2
COASTAL DEFENSE SITE,136
COMD CONTROL CENTR,29
COMM AREA,1
COMMAND POST,3616
COMMUNICATIONS,69
COMMUNICATIONS VAN,2
COMMUNICATIONS\ANY,21
CONFIRM ENEMY LOC,58681
CONSTRUCTION SITE,4436
CONSTRUCTION VEHICLES,269
COOLING TOWERS,1
CP,4
CRATE\STORAGE CONT,338
DAM,230
DECOY MOVER PLUS ANY,1
DEFENSE STRUCTURE,2
DIKE,23
DOWNED AIRCRAFT,29
DRUM,1
DRUM (POL),1351
DRY DOCK,25
ELEC. PWR. FAC.,843
FACTORY INDUSTRIAL,20
"FACTORY,ANY",42
FERRY,15638
FERRY CROSSING,82
FIGHTER,6
FIREBASE,23
FLOATING BAGS\BOXES,18
FOOT BRIDGE,64
FORD,20821
FORDS\SUBSURFACE BRIDGE,2822
FOX HOLES,10296
FRTFD AREA,18
GUNBOAT,4
HELICOPTER,32
HH SAM SA\7,7
HIGHER\REVETMENTS,4
HQ COMPLEX,68
HQS AREA,14
HUTS,2
HYDROELEC PWR PLT,2
INFILTRATION ROUTE,834
INTERDICTION POINT,16660
ISLAND,257
JUNK  OR 1 WBLC,6
LANDING ZONE CONST,331
LANDING ZONE PREP,2052
LAUNCHER (MISSILE),1916
LEVEE,159
LIGHTS ON ROAD,2246
LOCK,2577
"LOCOMT,RAIL VEH",47
LOGISTICS\ANY,457
MACHINE GUN (ANY),158
MARINE RAILWAY,19
MEAN PT OF IMPACT,9
MERCURY GRASS SITE,6
MIG17,2
MIG19,4
MIG21,12
MIG21 ON GND,8
MIL AREA,3
MIL BRKS\ADMIN SPT,231
MILITARY COMPLEX,986
MILITARY VEHICLES,152
MINEABLE AREA,217
MINEFIELD (LAND),545
MINEFIELD (SEA),134
MISSILE,49
MISSILE TRANSPORTER,69
MNFLD LAND,1
MORTAR SITE,2317
MOTOR VEHICLE,155409
MOUNTAIN PASS,813
MOVERS\ANY,719
NAVAL BASE,33
NAVAL SUPPORT FACILITY,134
NBR OF AAA PIECES,33
NO TARGET ACQUIRED,21616
OPEN STORAGE\DUMP,225
ORD AREA,1
OX-CART,51
PACK ANIMALS,430
PERSONNEL\ANY,23206
PIER,466
PIPELINE,680
PLANT,600
POL BARRELS,439
POL STORAGE,1498
POL TANKS,47
POL\TNK AREA,6
PONTOON BRIDGE,78
PORT FACILITY,2217
PRE-STRIKE,503
PUMPING STATION,600
RADAR,37253
RADAR SITE,63
RADAR SRCH INTERCP,402
RADAR VAN,65
RADIO,736
RADIO COMM ANY\ANT,5
RADIO COMMUNICATN,81
RAIL LINES\ANY,89
RAILROAD,10236
RAILROAD BRIDGE,621
RAILROAD COMPLEX,14
RAILROAD CROSSING,3
RAILROAD SIDING,261
RAILROAD STA\TERM,17
RAILROAD TRACK,89
RAILROAD VEHICLES,2377
RAILROAD YARDS,98
"RCKT LNCHR (B40, ETC)",15
REFINERY (POL),54
"REFINERY, ANY",1
"REFINERY, OIL\GAS",4
REPAIR YARD (UNIDENT),374
REVETMENT,163
ROAD,161574
ROAD CONST MATERIAL,14
ROADS\HIGHWAYS,12123
ROAD\HIWAY\APPRCH,746
ROCKET SITE,294
ROLLING STOCK,21
RPTD ENEMY LOC,36
RR TUNNEL,2
RUNWAY,241
SA SITE,31
SAM CANISTER,62
SAM LAUNCHER\EQMT,225
SAM OXIDIZER,1
SAM SITE,463
SAMPANS,1198
SA\3 SITE,2
SEARCHLIGHT,42
SEGMENT\TRANS ROUTE,39642
SENSOR FIELD,7913
SHIP,4
SHIPYARD,164
SILO,10
SNIPER,7
SSH,20
STAGE AREA,767
STAGING AREA,130
STOR BLDG,7
STORAGE AREA,19124
STRONG POINT,10
SUPPLIES (MISCELL.),3152
SUPPLIES\RICE\WEAPONS,2859
SUPPLY AREA,499
SUPPLY STORAGE\DMPS,298
SUSP ENEMY LOC,5291
TANK,1003
TANK (POL),609
TANK MV,9
TANK PARK,18
TFA TARGET,4
THERMAL POWER PLANT,35
TNK POL,1
TOWER,489
TOWER\OUTPST\LKOUT,45
TRACKED VEHICLE,73
TRAILS,1725
TRAIN CAR ANY,191
TRANS PT,11
TRANSHIPMENT POINT,6733
TRANSPORT,13
TRANSPORT\TRK\TRLR,37
TRANSSHIP POINT,935
TRELLIS-CAMOUFLAGE,15
TRENCH,4832
TRENCHES,3547
TRK\PRK\STORE AREA,5280
TROOP BATT,5
TROOP DIV,8
TROOP REGT,7
TROOP UNK,513
TROOP UNK #,939
TROOPS,398388
TROOPS IN CONTACT,4640
TRUCK,10
TRUCK PARK,4269
TRUCK PARK\STOP,107486
TRUCK PRK ST,512
TRUCK PRK\ST,236
TRUCKS,21235
TUNNEL,2157
TUNNELS,3276
UNKNOWN\UNIDENTIFIED,264509
UNK\UND,336
VAN,141
VILLAGE,11007
WAREHOUSE,539
WATER INTERDICT PT,2231
WATER VEHICLES,44405
WATERCRAFT,746
WATERWAY,156
WAY STA\REST AREA,6
WEAPONS\ANY,41
WHARF,258
