Unit,Count
0,219
110FS,1
110LS,9606
112FS,1
112LS,10250
113LS,1
114LS,12399
116CTF,40
116LS,11452
118LS,6584
118SQ,1
119LS,2
11TRS,2
120FS,1
120LS,3674
122LS,9984
124LS,3078
12S0S,3
12SCHS,3
12SOS,283
12TFW,23538
12TRS,479
131AVN,6
13TFS,5
140LS,1
14S0W,2
14SOW,165
14TRS,1
1520FS,1
1526FS,1
15MAG1,18830
15MAGI,1
15SOS,1143
16MAG1,1
16SOS,20
16TRS,175
17SOS,18745
18S0S,5
18SOS,35739
19TAS,10883
19TASS,6
1MAW,16876
1S0S,2
1SOS,1012
20SOS,2410
20TAS,13559
20TAS2,231
20TASS,17
211HS,10265
2124LS,1
213HS,9396
215HS,9240
217HS,9776
217SQ,1
218LS,1
219FS,1
219HS,4782
21S0S,4
21SOS,4897
21SOSK,7
21TAS,10946
21TAS1,26
21TASS,35
221HS,8724
221LS,1
223FS,1
223HS,9701
225HS,7200
227HH,3
227HS,7331
229HS,9506
229SQ,1
22SOS,24
22TAS,5008
22TASS,1
231HS,8597
232HS,1
232SQ,1
233HS,6194
233SQ,1
234HS,7
235HS,8503
235HSS,1
237AS,1
237HS,5318
238FS,7
239HS,5601
239SQ,1
23TA1,7
23TAS,9653
23TAS1,2023
23TASS,23
240HS,8
241HS,2125
241SQ,1
243FS,1
243HS,6493
245HS,4491
247HS,1135
249HS,756
249SW,2
251HS,3027
253HS,1875
254TFW,2
255HS,1772
257HS,1249
259AH,867
259BH,1061
259CH,1356
259CS,1
259DH,1204
259EH,656
259GH,830
259HH,679
259HI,1
259HS,15
259IH,885
25TFS,1
2OTAS,11
2RAF,10475
306TFS,1
307SOW,4
307SW,36822
307TFS,5
309TFS,1
310TAS,931
311TAS,7
314SAM,4006
314SM,1736
314TS,37
315AD,19
315SOW,1
315TAW,526
316TEW,1
31ARRS,62
31TFW,18949
32TAS,4
333TFS,2
33WG,1
347TFW,1900
34TFS,1
352TFS,3
354TFS,2
354TFW,15596
355TFS,1
355TFW,11567
359BH,1
35TFW,38938
35TFWB,5
35TFWT,1
360TEW,17037
361TE1,2106
361TEW,13261
362TEW,11488
366TFW,69055
36ARRS,1
374TAW,11426
374TFW,2
374TRW,1
376SW,24
377ABW,10
37AARS,3
37ARRG,1
37ARRS,2268
37TFW,3463
388TFW,72157
38ARRS,3514
38ARS,8
397SW,2
39ARRS,3966
3ARRGP,2721
3MAB,1379
3TFW,25287
405TFW,393
40AARS,1
40ARRS,9760
40ARS,4
4133SW,9096
413TS,4198
415TS,4216
416TFS,2
417TS,2
41ARRW,5
41TEW,1
41TEWS,587
41WG,1
420TS,2
421TFS,4
421TS,2574
4220AR,449
423FS,1
423TS,1634
4258SW,500
425SQ,1
425TS,1008
427SQ,1
427TS,1319
429CS,4
429FS,2
429SQ,1
429TS,2009
42TEW,7
42TEWS,13265
431CS,2
431TS,1919
432CSG,13
432TFW,1932
432TRW,101632
433TFS,4
435TFS,3
435TS,1996
437TS,2116
451TS,2
457TAS,9
457TFS,1
458TAS,5
459TAS,2
45TRS,304
460TFW,1
460TRW,9624
469TFS,1
474TAW,1
474TFW,18455
480TFS,2
483TAW,1490
497TFS,1
49TFW,13097
49TRW,2
4TFS,5
504 D1,3
50OMS,1
514FS,29115
516FS,23001
516SQ,2
518FS,24968
520FS,33897
