Weapon Type,Count
100 GP,1
1000 G,2
1000LB GP M-65,12776
1000LB MK-83,15522
1000LB SAP M59,454
100LB FR M-IA2,11858
100LB GP M-30,4610
100LB M-28,1639
100LB PWP M-47,9970
105 HOWITZER AMMO,51
105HE HOWITZER AMMO,103
12.7 MM AMMO,19
2.75 IN ANTI-TANK RKT,5
2.75 IN. ROCKET,19
2.75IN FLECHET,5815
2.75IN HE RKT,45021
2.75IN HEAT RK,9403
2.75IN PWP RKT,11086
20 MM AMMO (HNDRDS),15002
200/260 M81/88,12147
2000LB M-66,5949
2000LB MK-84,8403
250LB BLU-10,5326
250LB M-57,15757
250LB MK-81,82691
30 CAL,394
30 DAY CAN,584
3000 LB BLU-34,13
3000LB M-118,2675
40MM HE XM384,1034
40MM MISC METAL,124
5.0IN HE RKT,23509
5.0IN HEAT RKT,524
5.0IN HVAR RKT,1124
5.56MM,168
5.59 MM AMMO (HNDRDS),1
50 CAL,16457
50 CALIBAR AMMO,19
500BLU11/23/32,58336
500LB GP M-64,41281
500LB GP MK-82,408323
500LB IND M-31,1709
500LBINCNDM32,2379
7.62 AMMO,11903
7.62MM,55385
750 GP,29653
750LB BLU-1/27,101327
750LB GP M-117,150430
750LB M-35 PHS,3016
900LB M-36 THR,4523
ADU-253,573
ADU-253 DISPENSER,17
ADU-272,1126
ADU-273 DISPENSER,99
ADU-285,12
AERO-70 RKT LAUNCHER,1
AGM-12C BULLPUP-B,114
AGM-45A SHRIKE-3,8437
AGM-62A WALLEYE,35
AGM-62A WALLEYE 1,10
AGM-62A WALLEYE 2,2
AGM-65A MAVERICK,6
AGM-72 STD AR MISSLE,2919
AGM-87 A-TO-G FOC MSL,9
AIM-26B A-TO-A MISSLE,1
AIM-4A_D_G FALCON,30
AIM-7D_E_F SPARROW,18317
AIM-9C_D_ P SIDEWINDER,3180
AIR DELIV SEISMIC MO,1
ALQ-91,1
BATTLEFIELD CASUALTYS,4273
BLU-26,11
BLU-33,3
BLU-42,7
BLU-43,1
BLU-52,347
BLU10B FIRE BOMB (250),27
BLU1B FIRE BOMB (750),596
BLU23B FIRE BOMB (500),243
BLU27 FIRE BOMB (750),8633
BLU31,14
BLU31 LAND MINE(AGO1),3
BLU32B FIRE BOMB (500),8108
BLU52_BLU62 TG/F BOMB,99
BLU73B ANTIPERS-PROPN,1
BLU82B LZ CLR DEVICE,1
BULLPUP A/B,1626
BULLPUP B,2727
CARGO (TONS),42787
CBU 30,2101
CBU 42/BLU54B,734
CBU 46,378
CBU-1,4570
CBU-10,5
CBU-11,3
CBU-12,3860
CBU-14/25,26582
CBU-18,2
CBU-19,417
CBU-2,15458
CBU-22,824
CBU-23,1
CBU-24,57
CBU-24/29,55618
CBU-28,280
CBU-3,7
CBU-33,111
CBU-34,350
CBU-39,1
CBU-49,66
CBU-7,5448
CBU12 INCEN SMOKE,66
CBU15 ANTI-MATERIAL,872
CBU19 RIOT CONTROL,19
CBU2 ANTI-MTL MUNIT,30
CBU22 INCEN SMOKE,421
CBU24,2
CBU24 AN PR/MT (BLU26),14135
CBU25 AN PR/MT (BLU24),3418
CBU28 AN PR MINE,46
CBU28/BLU43B,16
CBU29 AN PR/MT (BLU36),49
CBU3 AN TANK (BLU7),4
CBU30 RIOT CTL (BLU39),22
CBU33 AVLM (BLU45),41
CBU34 AN PR/MT (BLU42),9
CBU38 AN MTL (BLU49),693
CBU39 GRAVEL BOMB,23
CBU40 (10 CDU5),2
CBU42 WAAPM (BLU54),336
CBU46 AN PR/MT (BLU66),275
CBU46 ANTI-PER,330
CBU49 AN PR MINE,4158
CBU52 AN MTL (BLU61),1678
CBU55 AN PR BOMB (FAE),357
CBU58 AN PR BOMB,1114
CDU10 MICRO GRAVEL,2
CDU14 GRAVEL,113
COMMIKE III SENSOR,59
DRONE AGM-37A,40
FALCON,2955
FALCON AIM-26,531
FLARES--MLU-32/899,13
FLARES-MK24_MK6_LUUI8,23277
HERBICIDE,182
HERBICIDE (GALLONS),185
HILL GENIE,12
HVAC 5 IN ROCKET,635
KMU342B (M117 LGB-750),5
LAU 10A (ZUNI LCHR),1265
LAU-10A,8828
LAU-32/AERO 6A,1633
LAU-33,2526
LAU-3A/AERO7,24855
LAU-54,1
LAU-56,153
LAU-59,5963
LAU3/MA RKT LCHR (19),16526
LAU32 RKT LCHR (7),86
LAU54 ROCKET POD,9
LAU59 RKT LCHR (7),2943
LAU68 RKT LCHR (7),2086
LEAFLET BOMB,588
LEAFLET MANUAL,1499
LUU2 FLARE,1590
M-3,30613
M-39,136172
M-61,76288
M1 GP BOMB (1000),4
M117 DESTRUCTOR,12
M117 GP BOMB (750) HD,228
M117 GP BOMB (750) LD,14611
M117 GP BOMB HD-FMU30,1
M118,12
M118 DEMOL BOMB (3000),104
M118 DEMOL BOMB FUSE,118
M118 LASER GUIDED BMB,32
M120 P,1
M129 L,1521
M129E1 CHAFF DISP,301
M129E2 CHAFF DISP,135
M129EA1 LEAFLETS(1K),11852
M1A4 FRAG BOMB CLUSTR,688
M28 FRAG BOMB CLUSTR,31
M3 GP BOMB (1000),3
M35 PH,7
M35/M32 INCEN BMB CLS,6
M36/M32 INCEN BMB CLS,886
M36E2 HIGH SPD M36,1383
M4 GP BOMB (1000),14
M47I INCEN BOMB (100),399
M47S SMOKE BOMB (100),242
M64A1,6
M65 GP BOMB (1000),1
M65A1,368
M66 GP BOMB (2000),1
MAO3 NBB,1
MB05 WAAPM30 (BLU54),1
MC01 FAID,2
MC02 DAR,1
MD01 ALVM (CBU34/45),1
MD02 (CBU39/45),4
MF04 M117(MOD MK 75),2
MK 82 GP BOMB (500),1286
MK 82 GP BOMB (500) LD,62921
MK-11/MK-12,65996
MK-20 AN TANK/MTL,4466
MK-24,60009
MK-36 DESTRUCT,7822
MK10 GP BOMB (100),116
MK11 GP BOMB (1000),2
MK13 GP BOMB (500),2
MK188,1
MK20MODO(CS),2574
MK32,164
MK346 (MK82 W/MECH TL),375
MK36 DEST FUSED MK82,354
MK36 GP BOMB,1451
MK36 GP BOMB HD,6
MK36DST MOD1,32
MK36DST MOD2,41
MK36DST MOD3,53
MK36DST MOD4,19
MK4 GP BOMB (500),81
MK40 2.75 IN. RKT MTR,32
MK40 DST FUSED MK83,3
MK40DST MOD2,1
MK52 WATER MINE,2
MK63,56
MK7 GP BOMB (500),1
MK77 NAPALM,607
MK8 GP BOMB (500),2
MK81 GP BOMB (250),17657
MK82 B,28304
MK82 GP BOMB (500) HD,3777
MK82 GP BOMB (M346 FS),363
MK82 GP BOMB 35FUS HD,1
MK82 GP BOMB HD-FMU30,1
MK82(LGB) LASER G/BMB,445
MK83 B,377
MK83 GP BOMB (1000),2020
MK83 GP BOMB (M346 FS),65
MK83 LASER G/BOMB,15
MK84 (EOGB),64
MK84 FE GP BOMB (2000),279
MK84 GP BOMB (2000),596
MK84 GP BOMB (KMU351),1171
MK84 GP BOMB (KMU353),11
MK84 LASER G/MINE,10
MK84 W/FMU72 DENWPN,2
MLU-108,25
MLU10B AIR LAND MINE,20
PASSENGERS,87484
PH FLASH M112,12
PH FLASH M120,31
PH FLASH M123,46
PHOTO EQUIP,41592
RADIOS,3
RKTLAUCHLAU-60,758
ROCKEYE II,545
ROKEY500LBBOMB,614
